year,label,source_url,final_url,filename,file_type,is_spreadsheet,content_type,bytes,sha256
2025,2025,https://laketahoerelay.com/wp-content/uploads/2025/06/Lake-Tahoe-Relay-2025-Race-Results.pdf,https://laketahoerelay.com/wp-content/uploads/2025/06/Lake-Tahoe-Relay-2025-Race-Results.pdf,data/raw/lake-tahoe-relay/results/2025-Lake-Tahoe-Relay-2025-Race-Results.pdf,pdf,False,application/pdf,305278,a62842500114ffefb139283da6b5443a407049e8438ff97ebbaf8aae524ef788
2024,2024,https://laketahoerelay.com/wp-content/uploads/2024/06/DeCelle-Memorial-Relay-2024-Results.pdf,https://laketahoerelay.com/wp-content/uploads/2024/06/DeCelle-Memorial-Relay-2024-Results.pdf,data/raw/lake-tahoe-relay/results/2024-DeCelle-Memorial-Relay-2024-Results.pdf,pdf,False,application/pdf,83579,d68aae09c85eccc1091670ba6920b80a12b6ed29e947202d42cd8ef61dcda807
2023,2023,https://laketahoerelay.com/wp-content/uploads/2023/07/Decelle-Memorial-Lake-Tahoe-Relay-2023-Results-adjusted.xls,https://laketahoerelay.com/wp-content/uploads/2023/07/Decelle-Memorial-Lake-Tahoe-Relay-2023-Results-adjusted.xls,data/raw/lake-tahoe-relay/results/2023-Decelle-Memorial-Lake-Tahoe-Relay-2023-Results-adjusted.xls,xls,True,application/vnd.ms-excel,81920,43234c5587c1be4c88f0ece1c5f3da30c704de6f5f4c8841627912e64d6b1490
2022,2022,https://laketahoerelay.com/wp-content/uploads/2022/06/LakeTahoeRelay-Results-2022.xls,https://laketahoerelay.com/wp-content/uploads/2022/06/LakeTahoeRelay-Results-2022.xls,data/raw/lake-tahoe-relay/results/2022-LakeTahoeRelay-Results-2022.xls,xls,True,application/vnd.ms-excel,56320,1614ba30962d0809c9afe072f3b1990f9e66aa09a96777559bb21414a93dcfbe
2019,2019,https://laketahoerelay.com/wp-content/uploads/2019/06/LakeTahoeRelay-Results-2019.xlsx,https://laketahoerelay.com/wp-content/uploads/2019/06/LakeTahoeRelay-Results-2019.xlsx,data/raw/lake-tahoe-relay/results/2019-LakeTahoeRelay-Results-2019.xlsx,xlsx,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,22471,0ead61d781b1473fa4a6bd4b7037f8dc9878ab8c167104f4450e7d9027d04dc7
2018,2018,https://laketahoerelay.com/wp-content/uploads/2019/05/LakeTahoeRelay-Results-2018.xlsx,https://laketahoerelay.com/wp-content/uploads/2019/05/LakeTahoeRelay-Results-2018.xlsx,data/raw/lake-tahoe-relay/results/2018-LakeTahoeRelay-Results-2018.xlsx,xlsx,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,80421,962c3a86c2221bcfcd09b3ae8764ae4f96cc39ff9838dc329820daed2e14eea9
2017,2017,https://laketahoerelay.com/wp-content/uploads/2019/05/LakeTahoeRelay-Results-2017.xlsx,https://laketahoerelay.com/wp-content/uploads/2019/05/LakeTahoeRelay-Results-2017.xlsx,data/raw/lake-tahoe-relay/results/2017-LakeTahoeRelay-Results-2017.xlsx,xlsx,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,71498,4b4399ac0b4cd718046cb8e4ef85b425c7a900c2ca617da7b6e41fd565c704d9
2016,2016,https://laketahoerelay.com/wp-content/uploads/2019/05/2016results_new.xls,https://laketahoerelay.com/wp-content/uploads/2019/05/2016results_new.xls,data/raw/lake-tahoe-relay/results/2016results_new.xls,xls,True,application/vnd.ms-excel,535040,0646c67f943886b3f0af298b1cd50f184d1f8b3a1fc48706b4accf26a4440024
2015,2015,https://laketahoerelay.com/wp-content/uploads/2019/05/2015results.xls,https://laketahoerelay.com/wp-content/uploads/2019/05/2015results.xls,data/raw/lake-tahoe-relay/results/2015results.xls,xls,True,application/vnd.ms-excel,664576,bee41601fc84553f72016c41580fa75ef4d154fdd815eba90742a54296f811d2
2014,2014,https://laketahoerelay.com/wp-content/uploads/2019/05/2014results.xlsx,https://laketahoerelay.com/wp-content/uploads/2019/05/2014results.xlsx,data/raw/lake-tahoe-relay/results/2014results.xlsx,xlsx,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,37208,07d090b85ddde6df95ff21b2fe9c96874b3d46759e1f53cf827e7ab8cf91c0d2
